N,linear_scan_ms_mean,linear_scan_ms_std,hash_lookup_ms_mean,hash_lookup_ms_std,binary_search_ms_mean,binary_search_ms_std,grover_oracle_calls_theoretical
64,0.0008906666664643126,0.0004909510047724876,0.00013976666650705738,0.00013979859063209822,0.0005957000008531091,0.0013084974645364348,6
128,0.001766499999670638,0.0007841172009852131,9.749999965909713e-05,3.021120062601759e-05,0.00025659999967804953,0.00015221401668482812,8
256,0.004831899999639215,0.009216825058105354,0.00010609999681795064,4.952329320343975e-05,0.0009865000009767755,0.0037903767782666905,12
512,0.006886933331410698,0.004337797175809918,0.00011709999985972293,3.258358347254233e-05,0.00032193333557491616,7.771483431534847e-05,17
1024,0.01376603333511639,0.011213855993928209,0.00012650000134802516,4.273776544848629e-05,0.0003542999995905423,0.00010116921466103409,25
4096,0.06931986666719088,0.040244205146849066,0.00014886666643102822,7.523905502713704e-05,0.0004482666663344996,0.0001414211041027182,50
16384,0.2910578333332599,0.1332084820239743,0.00033340000034816814,0.00013982002625031865,0.0006792333342294418,0.0002812928109130338,100
65536,1.080122999999844,0.7670857284922806,0.0011015333332882922,0.0003194671335198713,0.0016964000001469988,0.0007940633725807834,201
262144,4.007745633335939,2.4532405769119956,0.0036108666662926225,0.008618374011093586,0.0033453999999248176,0.0010838727961590931,402
1048576,18.769518433334536,10.444039568296873,0.005059800001087448,0.009096776310544664,0.007744200000085281,0.005305810981235209,804
